INTERSECT,Period,Time,EB_L,EB_Th,EB_R,WB_L,WB_Th,WB_R,NB_L,NB_Th,NB_R,SB_L,SB_Th,SB_R,Delay_s_veh,LOS,Max_green_EBL,Max_green_EBT,Max_green_WBL,Max_green_WBT,Max_green_NBL,Max_green_NBT,Max_green_SBL,Max_green_SBT,Yellow_duration,Min_green_EBL,Min_green_EBT,Min_green_WBL,Min_green_WBT,Min_green_NBL,Min_green_NBT,Min_green_SBL,Min_green_SBT,Ped_clearence_EW,Ped_clearence_NS,Receive_lanes_EB,Receive_lanes_WB,Receive_lanes_NB,Receive_lanes_SB,Num_lanes_EB,Num_lanes_WB,Num_lanes_NB,Num_lanes_SB,Year,Timestamp,Total_Vol,EW_Vol,NS_Vol,EW_to_NS,Green_EW,Green_to_Demand_EW,Ped_Load,High_Delay
W Univ and 34th Street,AM peak,0730–0745,3,92,50,26,88,19,58,142,39,27,202,41,41.9,D,25.0,45,25.0,45,25.0,45,25.0,45.0,4.0,4.0,15,6.0,15,7.0,15,4.0,15.0,35,27,1,2,2.0,4.0,3,3,4,4.0,2014,,787,278,509,0.5461689587426326,35.0,0.12589928057553956,62,0
W Univ and 34th Street,AM peak,0745–0800,6,106,38,34,117,26,54,100,30,21,197,40,41.9,D,25.0,45,25.0,45,25.0,45,25.0,45.0,4.0,4.0,15,6.0,15,7.0,15,4.0,15.0,35,27,1,2,2.0,4.0,3,3,4,4.0,2014,,769,327,442,0.7398190045248869,35.0,0.10703363914373089,62,0
W Univ and 34th Street,AM peak,0800–0815,8,91,19,26,91,20,58,117,42,22,199,41,41.9,D,25.0,45,25.0,45,25.0,45,25.0,45.0,4.0,4.0,15,6.0,15,7.0,15,4.0,15.0,35,27,1,2,2.0,4.0,3,3,4,4.0,2014,,734,255,479,0.5323590814196242,35.0,0.13725490196078433,62,0
W Univ and 34th Street,AM peak,0815–0830,7,98,23,28,96,21,47,108,33,22,179,37,41.9,D,25.0,45,25.0,45,25.0,45,25.0,45.0,4.0,4.0,15,6.0,15,7.0,15,4.0,15.0,35,27,1,2,2.0,4.0,3,3,4,4.0,2014,,699,273,426,0.6408450704225352,35.0,0.1282051282051282,62,0
W Univ and 34th Street,Off-peak,1200–1215,14,71,17,37,93,20,53,116,23,22,190,39,41.7,D,25.0,45,25.0,45,25.0,45,25.0,45.0,4.0,4.0,15,6.0,15,7.0,15,4.0,15.0,35,27,1,2,2.0,4.0,3,3,4,4.0,2014,,695,252,443,0.5688487584650113,35.0,0.1388888888888889,62,0
W Univ and 34th Street,Off-peak,1215–1230,16,70,15,33,87,19,51,113,27,22,188,39,41.7,D,25.0,45,25.0,45,25.0,45,25.0,45.0,4.0,4.0,15,6.0,15,7.0,15,4.0,15.0,35,27,1,2,2.0,4.0,3,3,4,4.0,2014,,680,240,440,0.5454545454545454,35.0,0.14583333333333334,62,0
W Univ and 34th Street,Off-peak,1230–1245,16,68,19,38,91,20,53,113,25,21,203,42,41.7,D,25.0,45,25.0,45,25.0,45,25.0,45.0,4.0,4.0,15,6.0,15,7.0,15,4.0,15.0,35,27,1,2,2.0,4.0,3,3,4,4.0,2014,,709,252,457,0.5514223194748359,35.0,0.1388888888888889,62,0
W Univ and 34th Street,Off-peak,1245–1300,14,71,15,41,100,22,58,121,23,20,200,41,41.7,D,25.0,45,25.0,45,25.0,45,25.0,45.0,4.0,4.0,15,6.0,15,7.0,15,4.0,15.0,35,27,1,2,2.0,4.0,3,3,4,4.0,2014,,726,263,463,0.5680345572354212,35.0,0.13307984790874525,62,0
W Univ and 34th Street,PM peak,1630–1645,11,49,19,40,130,28,85,143,30,17,208,43,48.1,D,25.0,45,25.0,45,25.0,45,25.0,45.0,4.0,4.0,15,6.0,15,7.0,15,4.0,15.0,35,27,1,2,2.0,4.0,3,3,4,4.0,2014,,803,277,526,0.526615969581749,35.0,0.1263537906137184,62,0
W Univ and 34th Street,PM peak,1645–1700,11,56,20,45,134,29,93,149,32,20,219,45,48.1,D,25.0,45,25.0,45,25.0,45,25.0,45.0,4.0,4.0,15,6.0,15,7.0,15,4.0,15.0,35,27,1,2,2.0,4.0,3,3,4,4.0,2014,,853,295,558,0.5286738351254481,35.0,0.11864406779661017,62,0
