the_geom,Count_Type,Station,STREET,BLOCK,ADT_2016,ADT_2015,ADT_2014,ADT_2013,ADT_2012,ADT_2011,ADT_2010,ADT_2009,ADT_2008,ADT_2007,ADT_2006,ADT_2005,ADT_2004,ADT_2003,ADT_2002,ADT_2001,ADT_2000,D1_1314,D2_1314,ADT_1314,DlyD1_1314,DlyD2_1314,Heavy_1314,PkAM_1314,AMD1_1314,AMD2_1314,PkPM_1314,PMD1_1314,PMD2_1314,D1_1112,D2_1112,ADT_1112,DlyD1_1112,DlyD2_1112,Heavy_1112,PkAM_1112,AMD1_1112,AMD2_1112,PkPM_1112,PMD1_1112,PMD2_1112
POINT (-82.32454871717412 29.65991213468399),CI,1000,N MAIN ST,900,0,0,16070,0,0,0,0,0,12958,0,0,17513,0,0,18052,0,0,Northbound,Southbound,16070,0.486559,0.513441,0.070691,1011,0.436202,0.563798,1303,0.53185,0.46815,Northbound,Southbound,14727.0,0.496299,0.503701,0.06,938,0.41791,0.58209,1206,0.535655,0.464345
POINT (-82.32458341521964 29.66294157385959),CI,1001,N MAIN ST,1200,0,0,15881,0,0,0,0,0,16694,0,0,16416,0,0,18440,0,0,Northbound,Southbound,15881,0.499528,0.500472,0.072351,944,0.46822,0.53178,1377,0.546115,0.453885,Northbound,Southbound,17779.0,0.445919,0.554081,0.06,1076,0.394052,0.605948,1516,0.44723,0.55277
POINT (-82.32389786657433 29.66964073503187),CI,1002,N MAIN ST,1900,0,0,15418,0,0,0,13646,0,17724,16593,16178,16913,16817,16931,16898,17259,18528,Northbound,Southbound,15418,0.528603,0.471397,0.250032,961,0.466181,0.533819,1230,0.547967,0.452033,Northbound,Southbound,12028.0,0.424426,0.575574,0.51,793,0.344262,0.655738,940,0.425532,0.574468
POINT (-82.31936445525942 29.68557613152471),CI,1003,N MAIN ST,3700,0,0,13880,0,0,0,12946,0,16400,15699,14993,15422,15060,15401,15835,16026,16839,Northbound,Southbound,13880,0.490418,0.509582,0.068228,1133,0.300971,0.699029,1255,0.576892,0.423108,Northbound,Southbound,13953.0,0.502759,0.497241,0.12,1201,0.344713,0.655287,1248,0.610577,0.389423
POINT (-82.31937859840505 29.690140797111162),CI,1006,N MAIN ST,4000,0,0,6325,0,0,0,4962,5299,5685,5740,5184,5152,5519,5467,5609,6110,5796,Northbound,Southbound,6325,0.52996,0.47004,0.132016,656,0.333841,0.666159,651,0.609831,0.390169,Northbound,Southbound,5785.0,0.522385,0.477615,0.16,637,0.318681,0.681319,629,0.620032,0.379968
POINT (-82.34106320511813 29.674007877677283),CI,2006,NW 23RD AV,1500,0,0,10463,0,0,0,0,0,10316,0,0,10771,0,0,12336,0,0,Eastbound,Westbound,10463,0.536749,0.463251,0.028577,765,0.648366,0.351634,948,0.436709,0.563291,Eastbound,Westbound,9188.0,0.477035,0.522965,0.02,703,0.613087,0.386913,817,0.0,0.0
POINT (-82.34742422259016 29.685662909569636),CI,2010,NW 19TH ST,3600,0,0,2454,0,2405,0,0,0,0,2298,0,0,2361,0,0,2612,0,Northbound,Southbound,2454,0.495518,0.504482,0.337001,218,0.412844,0.587156,228,0.565789,0.434211,Northbound,Southbound,2405.0,0.520166,0.479834,0.07,225,0.462222,0.537778,245,0.591837,0.408163
POINT (-82.40152836588555 29.670853150050043),CI,2011,NW 55TH ST,2000,0,0,0,8986,0,8895,0,6885,0,0,9454,0,0,9935,0,0,10347,Northbound,Southbound,8986,0.42199,0.57801,0.062542,726,0.399449,0.600551,785,0.552866,0.447134,Northbound,Southbound,8895.0,0.420573,0.579427,0.05,508,0.332677,0.667323,819,0.537241,0.462759
POINT (-82.32657964832495 29.664773630620704),CI,2014,NW 2ND ST,1400,0,0,0,0,2870,0,0,0,0,3101,0,0,3307,0,0,2278,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,Northbound,Southbound,2870.0,0.520209,0.479791,0.02,144,0.444444,0.555556,289,0.553633,0.446367
POINT (-82.32874824486974 29.65389358969202),CI,2013,NW 3RD AV,400,0,0,0,0,628,0,0,0,0,713,0,0,560,0,0,703,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,Eastbound,Westbound,628.0,0.953822,0.046178,0.05,31,0.967742,0.032258,72,0.944444,0.055556
POINT (-82.33299966383916 29.65566104409576),CI,2015,NW 5TH AV,800,0,0,0,0,0,0,0,1330,0,0,1651,0,0,2546,0,0,2835,,,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,Westbound,Eastbound,1139.0,0.459175,0.540825,0.06,50,0.38,0.62,110,0.445455,0.554545
POINT (-82.32790969497944 29.655631330502466),CI,2016,NW 3RD ST,500,0,0,0,0,559,0,0,0,0,490,0,0,635,0,0,606,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,Soutbound,,559.0,0.946333,0.053667,0.05,33,1.0,0.0,40,0.925,0.075
POINT (-82.33290649527108 29.652722720507434),CI,2017,NW 8TH ST,100,0,0,0,672,0,759,0,0,969,0,0,1157,0,0,927,0,0,Northbound,Southbound,672,0.392857,0.607143,0.034226,38,0.078947,0.921053,77,0.584416,0.415584,Northbound,Southbound,759.0,0.422925,0.577075,0.04,54,0.166667,0.833333,73,0.547945,0.452055
POINT (-82.34503115452424 29.655832798159476),CI,2018,NW 5TH AV,1700,0,0,0,1860,0,1877,0,1963,0,0,2130,0,0,2758,0,0,2699,Eastbound,Westbound,1860,0.502688,0.497312,0.062366,132,0.613636,0.386364,178,0.477528,0.522472,Westbound,Eastbound,1877.0,0.515184,0.484816,0.04,138,0.456522,0.543478,198,0.580808,0.419192
POINT (-82.33499852405716 29.65333381600342),CI,2019,NW 10TH ST,200,0,0,0,1685,0,1552,0,2008,0,0,2416,0,0,2555,0,0,2367,Northbound,Southbound,1685,0.511573,0.488427,0.037389,99,0.343434,0.656566,175,0.565714,0.434286,Northbound,Southbound,1552.0,0.520619,0.479381,0.05,107,0.345794,0.654206,148,0.628378,0.371622
POINT (-82.33509472419685 29.660471502051294),CI,2021,NW 10TH ST,900,0,0,0,0,1002,0,0,825,0,0,1020,0,0,931,0,0,1175,,,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,Northbound,Southbound,1002.0,0.576846,0.423154,0.12,77,0.155844,0.844156,120,0.816667,0.183333
POINT (-82.32797907002715 29.661094344850785),CI,2022,NW 10TH AV,300,0,0,0,0,2758,0,0,0,3615,0,0,3151,0,0,3512,0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,Westbound,Eastbound,2758.0,0.414793,0.585207,0.05,116,0.353448,0.646552,286,0.426573,0.573427
POINT (-82.33711620450663 29.652765103771642),CI,2024,NW 12TH ST,100,0,0,0,2831,0,2868,0,3159,0,0,3343,0,0,3150,0,0,3076,Northbound,Southbound,2831,0.52349,0.47651,0.030378,151,0.344371,0.655629,317,0.55836,0.44164,Northbound,Southbound,2868.0,0.509763,0.490237,,167,0.329341,0.670659,351,0.615385,0.384615
POINT (-82.33548759506523 29.661191626236533),CI,2025,NW 10TH AV,1000,0,0,0,0,2616,0,0,2951,0,0,2910,0,0,2949,0,0,4446,,,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,Westbound,Eastbound,2616.0,0.425459,0.574541,0.03,150,0.433333,0.566667,266,0.421053,0.578947
POINT (-82.33720004061138 29.66047895672697),CI,2026,NW 12TH ST,900,0,0,0,0,1274,0,0,1431,0,0,1240,0,0,1842,0,0,1774,,,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,Northbound,Southbound,1274.0,0.591837,0.408163,0.28,85,0.494118,0.505882,154,0.623377,0.376623
POINT (-82.3426203555165 29.661227372539248),CI,2027,NW 10TH AV,1600,0,0,0,0,632,0,0,760,0,0,775,0,0,811,0,0,1244,,,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,Eastbound,Westbound,632.0,0.343354,0.656646,0.02,62,0.290323,0.709677,37,0.297297,0.702703
POINT (-82.34177914202088 29.655092903498467),CI,2028,NW 15TH ST,400,0,0,0,1940,0,1729,0,1901,0,0,2298,0,0,2109,0,0,1825,Northbound,Southbound,1940,0.570619,0.429381,0.056701,72,0.263889,0.736111,168,0.613095,0.386905,Northbound,Southbound,1729.0,0.511857,0.488143,0.07,83,0.192771,0.807229,139,0.546763,0.453237
POINT (-82.34323581707449 29.66763256937591),CI,2029,NW 16TH TER,1700,0,0,5987,0,0,0,0,0,6613,0,0,6864,0,0,7354,0,0,Northbound,Southbound,5987,0.552698,0.447302,0.132788,598,0.525084,0.474916,623,0.65008,0.34992,Northbound,Southbound,5992.0,0.549065,0.450935,0.02,616,0.508117,0.491883,580,0.610345,0.389655
POINT (-82.33019865332936 29.666646082496683),CI,2030,NW 16TH AV,500,0,0,0,10819,0,12668,0,0,0,12378,0,0,12430,0,0,12387,0,Westbound,Eastbound,10819,0.493946,0.506054,0.077549,786,0.48855,0.51145,902,0.505543,0.494457,Eastbound,Westbound,12668.0,0.514209,0.485791,0.07,888,0.527027,0.472973,1024,0.451172,0.548828
POINT (-82.34476275846993 29.65371498920206),CI,2031,NW 17TH ST,200,0,0,0,4614,0,2329,0,4874,0,0,5283,0,0,5307,0,0,5922,Northbound,Southbound,4614,0.468574,0.531426,0.035977,291,0.171821,0.828179,468,0.623932,0.376068,Northbound,Southbound,2329.0,0.604551,0.395449,0.06,88,0.340909,0.659091,315,0.619048,0.380952
POINT (-82.34464648589487 29.656183250320243),CI,2032,NW 17TH ST,500,0,0,0,3140,0,3015,0,3188,0,0,3995,0,0,3915,0,0,4160,Northbound,Southbound,3140,0.512102,0.487898,0.042357,250,0.208,0.792,336,0.696429,0.303571,Northbound,Southbound,3015.0,0.497844,0.502156,0.06,265,0.132075,0.867925,378,0.589947,0.410053
POINT (-82.34488904972005 29.66675414122669),CI,2033,NW 16TH AV,1700,0,0,0,17310,0,20188,0,0,22842,0,0,24025,0,0,23964,0,0,Eastbound,Westbound,17310,0.526112,0.473888,0.48498,1405,0.546619,0.453381,1701,0.507937,0.492063,Eastbound,Westbound,20188.0,0.523777,0.476223,0.07,1479,0.563218,0.436782,1991,0.520844,0.479156
POINT (-82.3472067774787 29.662757758257435),CI,2034,NW 18TH TER,1100,0,0,0,0,1518,0,0,1803,0,0,2090,0,0,2107,0,0,2416,,,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,Northbound,Southbound,1518.0,0.557312,0.442688,0.03,68,0.544118,0.455882,78,0.666667,0.333333
POINT (-82.3536018863958 29.65328322624414),CI,2035,NW 22ND ST,0,0,0,0,0,3617,0,0,0,0,0,0,5557,0,0,5778,0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,Northbound,Southbound,3617.0,0.459773,0.540227,0.05,170,0.452941,0.547059,195,0.425641,0.574359
POINT (-82.3776516055475 29.66896515376927),CI,2036,NW 16TH BV,3600,0,0,0,19074,0,20112,19693,22345,22131,22157,23567,23094,23252,24729,22357,21327,22902,Eastbound,Westbound,19074,0.500682,0.499318,0.058299,1362,0.483113,0.516887,1864,0.506438,0.493562,Eastbound,Westbound,20112.0,0.500497,0.499503,0.05,1492,0.482574,0.517426,1911,0.485086,0.514914
POINT (-82.38484170887779 29.672192187570158),CI,2038,NW 16TH BV,4000,0,0,0,19953,0,20783,21209,23816,25842,25351,25000,23633,23335,24741,23148,23342,23142,Eastbound,Westbound,19953,0.501478,0.498522,0.049266,1452,0.497245,0.502755,2019,0.47053,0.52947,Eastbound,Westbound,20783.0,0.499206,0.500794,0.07,1541,0.494484,0.505516,2021,0.464127,0.535873
POINT (-82.36942574730773 29.661449057251474),CI,2039,NW 31ST DR,900,0,0,0,0,1380,0,1631,0,0,1575,0,0,1267,0,0,1352,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,Northbound,Southbound,1380.0,0.515217,0.484783,0.06,171,0.315789,0.684211,171,0.660819,0.339181
POINT (-82.3807672808476 29.665823432152493),CI,2042,NW 38TH ST,1400,0,0,0,0,1781,0,0,0,1848,0,0,1745,0,0,1701,0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,Northbound,Southbound,1781.0,0.514879,0.485121,0.4,194,0.391753,0.608247,220,0.668182,0.331818
POINT (-82.33978314357819 29.679020659372725),CI,2043,NW 29TH RD,1300,0,0,1923,0,3978,0,0,0,0,4600,0,0,3613,0,0,2644,0,Eastbound,Westbound,1923,0.205408,0.794592,0.169527,78,0.051282,0.948718,254,0.385827,0.614173,Westbound,Eastbound,3978.0,0.552539,0.447461,0.04,202,0.465347,0.534653,268,0.630597,0.369403
POINT (-82.34734086768299 29.689986842262737),CI,2044,NW 19TH ST,4000,0,0,1499,0,1572,0,0,0,0,1362,0,0,1888,0,0,1327,0,Northbound,Southbound,1499,0.536358,0.463642,0.274183,146,0.315068,0.684932,159,0.641509,0.358491,Northbound,Southbound,1572.0,0.549618,0.450382,0.03,147,0.346939,0.653061,176,0.613636,0.386364
POINT (-82.32911255888216 29.653363785443577),CI,2054,NW 2ND AV,400,0,0,0,0,549,0,0,483,0,0,667,0,0,658,0,0,927,,,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,Westbound,Eastbound,549.0,0.264117,0.735883,0.05,37,0.513514,0.486486,67,0.238806,0.761194
POINT (-82.33082221911437 29.65293184815131),CI,2056,NW 6TH ST,100,0,0,0,10517,0,7969,0,0,8942,0,0,9522,0,0,10042,0,0,Southbound,Northbound,10517,0.477608,0.522392,0.03385,751,0.609854,0.390146,1082,0.353974,0.646026,Southbound,Northbound,7969.0,0.405446,0.594554,0.06,311,0.318328,0.681672,1025,0.362927,0.637073
POINT (-82.32657483187434 29.653010721403913),CI,2058,NW 2ND ST,100,0,0,0,0,567,0,0,0,676,0,0,884,0,0,707,0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,Northbound,,567.0,0.954145,0.045855,0.03,36,0.944444,0.055556,64,0.9375,0.0625
POINT (-82.32666810831424 29.67332465988736),CI,2067,NW 2ND ST,2200,0,0,1628,0,0,0,0,0,0,2310,0,0,2507,0,0,2016,0,Northbound,Southbound,1628,0.55344,0.44656,0.068796,119,0.310924,0.689076,171,0.619883,0.380117,Northbound,Southbound,1906.0,0.552466,0.447534,0.06,127,0.417323,0.582677,190,0.563158,0.436842
POINT (-82.33059240101956 29.65247942865364),CI,2068,NW 5TH TER,0,0,0,0,946,0,272,0,288,0,0,211,0,0,1756,0,0,1721,Northbound,Southbound,946,0.506342,0.493658,0.084567,80,0.1875,0.8125,94,0.62766,0.37234,Northbound,Southbound,272.0,0.713235,0.286765,0.11,19,0.684211,0.315789,23,0.913043,0.086957
POINT (-82.32533548372648 29.653319050709214),CI,2069,NW 2ND AV,0,0,0,0,0,1826,0,0,0,0,1807,0,0,2341,0,0,2109,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,Eastbound,Westbound,1826.0,0.457831,0.542169,0.06,111,0.306306,0.693694,160,0.55625,0.44375
POINT (-82.33435848909531 29.666657903070572),CI,2070,NW 16TH AV,900,0,0,0,12440,0,14154,0,0,0,11876,0,0,15169,0,0,14101,0,Westbound,Eastbound,12440,0.507717,0.492283,0.066399,949,0.508957,0.491043,1107,0.537489,0.462511,Eastbound,Westbound,14154.0,0.503533,0.496467,0.05,1021,0.492654,0.507346,1140,0.422807,0.577193
POINT (-82.35671822624752 29.66672788011259),CI,2071,NW 16TH AV,2300,0,0,0,17193,0,19486,0,13749,0,0,23513,0,0,22017,0,0,22264,Eastbound,Westbound,17193,0.497703,0.502297,0.059326,1373,0.577567,0.422433,1760,0.417045,0.582955,Eastbound,Westbound,19486.0,0.491532,0.508468,0.05,1549,0.550032,0.449968,1811,0.405853,0.594147
POINT (-82.35356282063964 29.66446167718036),CI,2072,NW 22ND ST,1400,0,0,0,0,5361,0,0,0,0,0,7246,0,0,7458,0,0,7130,,,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,Northbound,Southbound,5361.0,0.581421,0.418579,0.05,283,0.547703,0.452297,222,0.621622,0.378378
POINT (-82.37453730455428 29.65954339289267),CI,2073,NW 8TH AV,3400,0,0,0,12384,0,14792,0,16412,0,0,18187,0,0,16358,0,0,15444,Eastbound,Westbound,12384,0.546673,0.453327,0.991118,834,0.544365,0.455635,1256,0.523885,0.476115,Eastbound,Westbound,14792.0,0.504462,0.495538,0.06,1063,0.542803,0.457197,1358,0.486745,0.513255
POINT (-82.36917968631182 29.659485182782824),CI,2074,NW 8TH AV,3100,0,0,0,14813,0,15177,16273,0,0,18479,0,0,16050,0,0,16148,0,Eastbound,Westbound,14813,0.490718,0.509282,0.065416,1119,0.499553,0.500447,1481,0.44497,0.55503,Eastbound,Westbound,15177.0,0.498386,0.501614,0.08,1092,0.551282,0.448718,1420,0.419014,0.580986
POINT (-82.3496874192228 29.659442171626043),CI,2075,NW 8TH AV,2000,0,0,0,15028,0,14637,0,0,0,0,0,16004,0,0,15553,0,0,Westbound,Eastbound,15028,0.495542,0.504458,0.045715,1209,0.430935,0.569065,1511,0.54004,0.45996,Eastbound,Westbound,14637.0,0.509941,0.490059,0.04,1181,0.585944,0.414056,1480,0.454054,0.545946
POINT (-82.3313312403746 29.65943004910939),CI,2076,NW 8TH AV,600,0,0,0,13976,0,14293,0,13564,0,0,13611,0,0,13279,0,0,14573,Eastbound,Westbound,13976,0.387307,0.612693,0.066543,1084,0.393911,0.606089,1343,0.436337,0.563663,Eastbound,Westbound,14293.0,0.508431,0.491569,0.03,1118,0.497317,0.502683,1384,0.505058,0.494942
POINT (-82.40886334937788 29.6566170007346),CI,2090,NW 62ND ST,400,0,0,0,18951,0,20971,21603,16405,0,24281,23253,21286,22481,21496,19697,17601,19346,Northbound,Southbound,18951,0.479922,0.520078,0.060102,1260,0.544444,0.455556,1620,0.475926,0.524074,Northbound,Southbound,20971.0,0.493253,0.506747,0.06,1337,0.5273,0.4727,1720,0.478488,0.521512
POINT (-82.32398665942037 29.652369462807844),CI,2091,NW 1ST ST,0,0,0,0,0,2359,0,0,0,0,657,0,0,730,0,0,691,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,Northbound,Southbound,2359.0,0.488343,0.511657,0.02,142,0.464789,0.535211,259,0.447876,0.552124
POINT (-82.34630572132903 29.65259013125355),CI,2092,NW 18TH ST,0,0,0,0,2175,0,806,2817,0,0,3349,0,0,3385,0,0,2795,0,Southbound,Northbound,2175,0.525977,0.474023,0.029885,79,0.506329,0.493671,197,0.532995,0.467005,Northbound,Southbound,806.0,0.563275,0.436725,0.05,29,0.241379,0.758621,66,0.515152,0.484848
POINT (-82.32515691688356 29.65269988831243),CI,2095,NW 1ST AV,0,0,0,0,0,388,0,0,0,0,2119,0,0,1898,0,0,1456,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,Eastbound,,388.0,0.951031,0.048969,0.02,11,1.0,0.0,37,0.972973,0.027027
POINT (-82.33974829196964 29.653924383795577),CI,2096,NW 3RD AV,1300,0,0,0,2715,0,2087,1945,0,0,2295,0,0,2399,0,0,2823,0,Eastbound,Westbound,2715,0.359116,0.640884,0.033149,116,0.206897,0.793103,225,0.4,0.6,Westbound,Eastbound,2087.0,0.586967,0.413033,0.02,107,0.719626,0.280374,175,0.588571,0.411429
POINT (-82.33783453566957 29.653913591819904),CI,2097,NW 3RD AV,1200,0,0,0,3031,0,2395,0,3423,0,0,2791,0,0,2240,0,0,2714,Eastbound,Westbound,3031,0.549654,0.450346,0.046849,160,0.525,0.475,240,0.5875,0.4125,Westbound,Eastbound,2395.0,0.389562,0.610438,0.01,146,0.342466,0.657534,210,0.414286,0.585714
POINT (-82.33052348814222 29.655652130865427),CI,2098,NW 5TH AV,500,0,0,0,0,1213,0,0,2187,0,0,1414,0,0,8748,0,0,1748,,,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,Eastbound,Westbound,1213.0,0.511954,0.488046,0.12,78,0.538462,0.461538,114,0.421053,0.578947
POINT (-82.33969335007676 29.65755959645129),CI,2099,NW 7TH AV,1300,0,0,0,0,1501,0,1570,0,0,1877,0,0,1814,0,0,1355,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,Eastbound,Westbound,1501.0,0.456362,0.543638,0.25,139,0.395683,0.604317,151,0.476821,0.523179
