the_geom,Count_Type,Station,STREET,BLOCK,ADT_2016,ADT_2015,ADT_2014,ADT_2013,ADT_2012,ADT_2011,ADT_2010,ADT_2009,ADT_2008,ADT_2007,ADT_2006,ADT_2005,ADT_2004,ADT_2003,ADT_2002,ADT_2001,ADT_2000,D1_1314,D2_1314,ADT_1314,DlyD1_1314,DlyD2_1314,Heavy_1314,PkAM_1314,AMD1_1314,AMD2_1314,PkPM_1314,PMD1_1314,PMD2_1314,D1_1112,D2_1112,ADT_1112,DlyD1_1112,DlyD2_1112,Heavy_1112,PkAM_1112,AMD1_1112,AMD2_1112,PkPM_1112,PMD1_1112,PMD2_1112,drop_reason
POINT (-82.32657964832495 29.664773630620704),CI,2014,NW 2ND ST,1400,0,0,0,0,2870,0,0,0,0,3101,0,0,3307,0,0,2278,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,Northbound,Southbound,2870.0,0.520209,0.479791,0.02,144,0.444444,0.555556,289,0.553633,0.446367,Missing D1_1314
POINT (-82.32874824486974 29.65389358969202),CI,2013,NW 3RD AV,400,0,0,0,0,628,0,0,0,0,713,0,0,560,0,0,703,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,Eastbound,Westbound,628.0,0.953822,0.046178,0.05,31,0.967742,0.032258,72,0.944444,0.055556,Missing D1_1314
POINT (-82.33299966383916 29.65566104409576),CI,2015,NW 5TH AV,800,0,0,0,0,0,0,0,1330,0,0,1651,0,0,2546,0,0,2835,,,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,Westbound,Eastbound,1139.0,0.459175,0.540825,0.06,50,0.38,0.62,110,0.445455,0.554545,Missing D1_1314
POINT (-82.32790969497944 29.655631330502466),CI,2016,NW 3RD ST,500,0,0,0,0,559,0,0,0,0,490,0,0,635,0,0,606,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,Soutbound,,559.0,0.946333,0.053667,0.05,33,1.0,0.0,40,0.925,0.075,Missing D1_1314
POINT (-82.33509472419685 29.660471502051294),CI,2021,NW 10TH ST,900,0,0,0,0,1002,0,0,825,0,0,1020,0,0,931,0,0,1175,,,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,Northbound,Southbound,1002.0,0.576846,0.423154,0.12,77,0.155844,0.844156,120,0.816667,0.183333,Missing D1_1314
POINT (-82.32797907002715 29.661094344850785),CI,2022,NW 10TH AV,300,0,0,0,0,2758,0,0,0,3615,0,0,3151,0,0,3512,0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,Westbound,Eastbound,2758.0,0.414793,0.585207,0.05,116,0.353448,0.646552,286,0.426573,0.573427,Missing D1_1314
POINT (-82.33548759506523 29.661191626236533),CI,2025,NW 10TH AV,1000,0,0,0,0,2616,0,0,2951,0,0,2910,0,0,2949,0,0,4446,,,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,Westbound,Eastbound,2616.0,0.425459,0.574541,0.03,150,0.433333,0.566667,266,0.421053,0.578947,Missing D1_1314
POINT (-82.33720004061138 29.66047895672697),CI,2026,NW 12TH ST,900,0,0,0,0,1274,0,0,1431,0,0,1240,0,0,1842,0,0,1774,,,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,Northbound,Southbound,1274.0,0.591837,0.408163,0.28,85,0.494118,0.505882,154,0.623377,0.376623,Missing D1_1314
POINT (-82.3426203555165 29.661227372539248),CI,2027,NW 10TH AV,1600,0,0,0,0,632,0,0,760,0,0,775,0,0,811,0,0,1244,,,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,Eastbound,Westbound,632.0,0.343354,0.656646,0.02,62,0.290323,0.709677,37,0.297297,0.702703,Missing D1_1314
POINT (-82.3472067774787 29.662757758257435),CI,2034,NW 18TH TER,1100,0,0,0,0,1518,0,0,1803,0,0,2090,0,0,2107,0,0,2416,,,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,Northbound,Southbound,1518.0,0.557312,0.442688,0.03,68,0.544118,0.455882,78,0.666667,0.333333,Missing D1_1314
